order_id,customer_id,product_name,category,price,quantity,date,payment_method,status
ORD001,CUS001,无线蓝牙耳机,电子产品,299.0,1,2024-01-01,支付宝,已完成
ORD002,CUS002,机械键盘,电子产品,459.0,1,2024-01-01,微信支付,已完成
ORD003,CUS003,笔记本电脑,电子产品,5999.0,1,2024-01-02,银行卡,已完成
ORD004,CUS004,无线鼠标,电子产品,99.0,2,2024-01-02,支付宝,已完成
ORD005,CUS005,USB数据线,电子产品,29.0,3,2024-01-03,微信支付,待发货
ORD006,CUS006,智能手表,电子产品,1299.0,1,2024-01-03,支付宝,已完成
ORD007,CUS007,手机壳,配件,39.0,1,2024-01-04,微信支付,已完成
ORD008,CUS008,钢化膜,配件,19.0,2,2024-01-04,银行卡,已完成
ORD009,CUS009,移动电源,电子产品,159.0,1,2024-01-05,支付宝,待发货
ORD010,CUS010,耳机套,配件,25.0,1,2024-01-05,微信支付,已完成
ORD011,CUS011,平板电脑,电子产品,2999.0,1,2024-01-06,银行卡,已完成
ORD012,CUS012,充电器,配件,49.0,2,2024-01-06,支付宝,已完成
ORD013,CUS013,蓝牙音箱,电子产品,399.0,1,2024-01-07,微信支付,待发货
ORD014,CUS014,手机支架,配件,15.0,1,2024-01-07,支付宝,已完成
ORD015,CUS015,游戏手柄,电子产品,249.0,1,2024-01-08,银行卡,已完成
ORD016,CUS016,数据线收纳包,配件,19.0,1,2024-01-08,微信支付,已完成
ORD017,CUS017,显示器,电子产品,1499.0,1,2024-01-09,支付宝,已完成
ORD018,CUS018,鼠标垫,配件,29.0,1,2024-01-09,微信支付,已完成
ORD019,CUS019,固态硬盘,电子产品,599.0,1,2024-01-10,银行卡,待发货
ORD020,CUS020,网线,配件,15.0,3,2024-01-10,支付宝,已完成
